Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Pink Tamu Swahili Cafe & Restaurant],Price [Pink Tamu Swahili Cafe & Restaurant],In stock [Pink Tamu Swahili Cafe & Restaurant],Low stock [Pink Tamu Swahili Cafe & Restaurant]
best-london-dry-gin-shot-bes75,BES75-M75,,,,,,75ml - Medium Shot,,,,,100.00,,,,,Y,230.00,,
bianco-nobile-white-wine,BIA97,Bianco Nobile White Wine 750ml,Alcohol,,N,,,,,,,1200.00,,,,Y,Y,2400.00,1.000,
big-g-(chewing-gum),BIG66,Big G (Chewing Gum),General,,N,,,,,,,5.00,,,,Y,Y,7.50,38.000,10.000
biscuit,BIS16,"Biscuit, Cream",Snacks,<p>Cream</p>,N,,,,,,,8.00,,,,Y,Y,15.00,92.000,
biscuit-1,BIS87,"Biscuit, No Cream",Snacks,<p>No cream</p>,N,,,,,,,6.00,,,,Y,Y,10.00,0.000,
black-&-white-whiskey-750ml,BLA03,Black & White Whiskey 750ml,Alcohol,,N,,,,,,,1205.00,,,,Y,Y,2250.00,3.000,
black-white-whiskey-shot-bla03,BLA03-H125,Black & White Whiskey Shot,Shots,,N,Size,125ml - Half Quarter,,,,,200.83,,,,N,Y,360.00,,
black-white-whiskey-shot-bla03,BLA03-B150,,,,,,150ml - Big Shot,,,,,241.00,,,,,Y,520.00,,
black-white-whiskey-shot-bla03,BLA03-T25,,,,,,25ml - Tiny Shot,,,,,40.17,,,,,Y,100.00,,
black-white-whiskey-shot-bla03,BLA03-M75,,,,,,75ml - Medium Shot,,,,,120.50,,,,,Y,280.00,,
fanta-blackcurrant,FAN49,"Blackcurrant, 300ml",Nonalc Drinks,<p>300ml glass bottle</p>,N,,,,,,,40.00,,,,Y,Y,110.00,12.000,5.000
boda-🏍️,BODA,Boda Transport 🏍️,Transportation,<ul><li>motorbike</li><li>transport</li></ul>,N,,,,,,,0.00,,,,N,Y,variable,,
bottle-opener,BOT87,Bottle Opener,General,,N,,,,,,,150.00,,,,Y,Y,170.00,6.000,2.000
"bottled-water,-1.5l",WAT43,"Bottled Water, 1.5L",Maji,<p>Sealed Bottle</p>,N,,,,,,,33.00,,,,Y,Y,160.00,52.000,10.000
"bottled-water,-10l",WAT45,"Bottled Water, 10L",Maji,<p>Sealed Bottle</p>,N,,,,,,,120.00,,,,Y,Y,400.00,4.000,4.000
"bottled-water,-500ml",WAT42,"Bottled Water, 500ml",Maji,<p>Sealed Bottle</p>,N,,,,,,,30.00,,,,Y,Y,70.00,33.000,15.000
bread,BRE47,Bread 🍞,Food,,N,,,,,,,0.00,,,,N,Y,100.00,,
cabbage,CAB12,Cabbage 🥬,Food,,N,,,,,,,0.00,,,,N,Y,100.00,,
"camino-tequila,-700ml",TEQ29,"Camino Real Blanco Tequila, 700ml",Alcohol,<p>Camino Real Blanco Tequila</p>,N,,,,,,,2900.00,,,,Y,Y,4600.00,1.000,0.000
